Coef,Estimate,Std. error,t value,p value
Intercept,-2.918835966415274e+18,nan,nan,nan
x1,3451121375124.0,201403213730.36,17.14,0.0000e+00
x2,5.363077722246705e+18,5.213519542619903e+16,102.87,0.0000e+00
x3,-7.953229701097441e+18,8.15628121518532e+16,-97.51,0.0000e+00
x4,8127932597782684.0,nan,nan,nan
x5,164626057206.25,1305522252557.87,0.13,8.9965e-01
x6,-1.4722113648373225e+18,9.567981298605349e+16,-15.39,0.0000e+00
x7,-1.17386061771563e+17,6.266276641896862e+16,-1.87,6.1041e-02
x8,-6130240389534833.0,nan,nan,nan
x9,-8124182151974070.0,nan,nan,nan
x10,4880.51,261731608881933.62,0.0,1.0000e+00
x11,62.44,95776584861567.55,0.0,1.0000e+00
x12,-17.81,93416271444200.56,-0.0,1.0000e+00
x13,-0.11,1987083853009.99,-0.0,1.0000e+00
